;strain_1;strain_10;strain_11;strain_12;strain_13;strain_14;strain_15;strain_16;strain_17;strain_18;strain_19;strain_2;strain_20;strain_21;strain_22;strain_23;strain_24;strain_25;strain_26;strain_27;strain_28;strain_29;strain_3;strain_30;strain_31;strain_32;strain_33;strain_34;strain_35;strain_36;strain_37;strain_38;strain_39;strain_4;strain_40;strain_41;strain_42;strain_43;strain_44;strain_45;strain_46;strain_47;strain_48;strain_49;strain_5;strain_50;strain_51;strain_52;strain_53;strain_54;strain_55;strain_56;strain_57;strain_58;strain_6;strain_7;strain_8;strain_9
strain_50;0.47486;0.461592;0.500508;0.474488;0.476068;0.473999;0.44741;0.494301;0.461265;0.424895;0.469718;0.470003;0.466209;0.413622;0.53413;0.282263;0.597571;0.082683;0.081545;0.448723;0.630056;0.207848;0.468359;0.647819;0.401424;0.379213;0.186399;0.449102;0.536223;0.290041;0.525096;0.184208;0.535615;0.493721;0.26866;0.247728;0.59406;0.165116;0.203681;0.161307;0.571768;0.555382;0.00340708;0.228548;0.482125;;;;;;;;;;;;;
strain_51;0.637796;0.530146;0.569481;0.552733;0.684333;0.682696;0.554056;0.493744;0.458461;0.561432;0.547279;0.630776;0.564155;0.509441;0.136011;0.570126;0.0940287;0.476938;0.476314;0.591002;0.176184;0.52899;0.61248;0.157459;0.694136;0.556569;0.573425;0.687929;0.0871644;0.620932;0.461544;0.631643;0.16112;0.635455;0.619889;0.641035;0.13455;0.663759;0.694031;0.659688;0.000989446;0.209155;0.551263;0.640311;0.627015;0.66005;;;;;;;;;;;;
strain_52;0.732618;0.676674;0.612102;0.614153;0.627842;0.62338;0.648375;0.531381;0.591623;0.648904;0.458434;0.733751;0.550096;0.319781;0.683013;0.701012;0.679872;0.583923;0.581487;0.611139;0.68046;0.649045;0.730115;0.711369;0.600908;0.521522;0.611238;0.446071;0.560643;0.625959;0.530341;0.648624;0.663634;0.729189;0.559767;0.544152;0.563246;0.524018;0.592688;0.519572;0.469858;0.55734;0.488571;0.606995;0.734722;0.642;0.454355;;;;;;;;;;;
strain_53;0.82224;0.763838;0.772635;0.711157;0.826286;0.824231;0.687651;0.759486;0.753866;0.732196;0.637777;0.797226;0.764846;0.687009;0.394084;0.727634;0.353157;0.679407;0.678049;0.795485;0.451989;0.695404;0.805927;0.432003;0.80395;0.804117;0.713995;0.765115;0.336123;0.700974;0.599998;0.731918;0.349832;0.785119;0.724898;0.72315;0.315844;0.741408;0.84312;0.739813;0.187733;0.14301;0.642701;0.687052;0.79324;0.751346;0.287677;0.674199;;;;;;;;;;
strain_54;0.782426;0.665179;0.692112;0.713505;0.650807;0.646858;0.696339;0.515138;0.719915;0.713754;0.227511;0.773323;0.776857;0.354593;0.818252;0.773569;0.788935;0.753837;0.748688;0.594632;0.806363;0.746766;0.770161;0.775713;0.625299;0.75209;0.736484;0.616699;0.659694;0.74764;0.625756;0.823119;0.721698;0.749423;0.690891;0.674949;0.651995;0.76701;0.757739;0.758852;0.64569;0.754368;0.678058;0.723308;0.731421;0.675954;0.773161;0.393346;0.908609;;;;;;;;;
strain_55;0.687781;0.526476;0.638954;0.612126;0.72168;0.719542;0.49197;0.656445;0.619977;0.563574;0.464767;0.584566;0.632469;0.402413;0.628953;0.553954;0.579916;0.485312;0.483477;0.583209;0.62538;0.439382;0.579119;0.621247;0.6082;0.559193;0.428737;0.668638;0.516875;0.446617;0.506352;0.535149;0.651698;0.593118;0.435978;0.433782;0.579152;0.526899;0.443458;0.52129;0.5553;0.589132;0.441907;0.422176;0.646303;0.441086;0.69421;0.644728;0.724;0.666015;;;;;;;;
strain_56;0.531152;0.459811;0.50616;0.530878;0.516926;0.515571;0.423584;0.487954;0.462938;0.456041;0.493938;0.504727;0.45468;0.451898;0.528282;0.259057;0.592285;0.197431;0.214637;0.511733;0.574903;0.216903;0.503318;0.573824;0.445753;0.441703;0.203294;0.491164;0.517631;0.306693;0.512523;0.159856;0.554893;0.483913;0.281613;0.263246;0.556924;0.151012;0.217082;0.148026;0.581971;0.550767;0.129324;0.268007;0.543026;0.124243;0.566735;0.673868;0.678385;0.671545;0.49069;;;;;;;
strain_57;0.802722;0.801578;0.757028;0.759307;0.633104;0.63405;0.735161;0.627126;0.640162;0.754492;0.253079;0.845465;0.630184;0.507753;0.714871;0.72561;0.707334;0.615239;0.59906;0.623782;0.910181;0.710441;0.84174;0.806593;0.62212;0.60815;0.692644;0.479556;0.610106;0.744107;0.656981;0.705358;0.763867;0.826429;0.61359;0.598482;0.654873;0.636666;0.660592;0.63235;0.60942;0.69683;0.608572;0.670614;0.776071;0.616705;0.618294;0.361087;0.855788;0.278149;0.91614;0.654865;;;;;;
strain_58;0.126147;0.438661;0.297711;0.384205;0.524778;0.384258;0.583596;0.579532;0.588751;0.708579;0.341681;0.133557;0.624572;0.419053;0.524014;0.455862;0.652253;0.575242;0.53713;0.767325;0.542013;0.459991;0.503711;0.672849;0.564791;0.597123;0.460488;0.493182;0.600803;0.793449;0.610594;0.610968;0.579199;0.538311;0.598444;0.749161;0.628522;0.710122;0.640215;0.707998;0.655789;0.487116;0.764084;0.688066;0.654403;0.676922;0.628165;0.681201;0.587239;0.490838;0.204992;0.769366;0.778337;;;;;
strain_6;0.0289864;0.0350929;0.104136;0.0895757;0.431766;0.444055;0.109953;0.401549;0.420964;0.103912;0.69325;0.0273343;0.432193;0.648122;0.695011;0.565474;0.720858;0.558771;0.557617;0.359246;0.858562;0.635673;0.0321764;0.646984;0.500295;0.519242;0.497385;0.466285;0.545343;0.441755;0.595955;0.575742;0.711886;0.0479641;0.358486;0.408142;0.590602;0.525064;0.532585;0.539929;0.612051;0.624791;0.465845;0.459616;0.000348613;0.479105;0.624758;0.725331;0.788426;0.722812;0.642948;0.538826;0.77391;0.650854;;;;
strain_7;0.0328863;0.03355;0.101833;0.0879399;0.428314;0.440172;0.107689;0.397358;0.419065;0.101482;0.688235;0.0314809;0.429841;0.644055;0.690714;0.56134;0.716803;0.554015;0.552721;0.357456;0.854105;0.629114;0.0360971;0.645579;0.495569;0.514814;0.495763;0.462365;0.544432;0.439563;0.622875;0.573544;0.710964;0.0505318;0.356111;0.405462;0.589712;0.519502;0.526588;0.534197;0.610502;0.623043;0.462339;0.45622;0.00165096;0.480322;0.62369;0.719347;0.785782;0.717608;0.640564;0.529393;0.784628;0.64927;0.000417244;;;
strain_8;0.0217288;0.0188652;0.0794026;0.0660035;0.388286;0.398345;0.0686254;0.382537;0.451635;0.101302;0.686533;0.0202203;0.461121;0.642034;0.731901;0.54861;0.749865;0.518238;0.51652;0.378005;0.867479;0.586041;0.0124079;0.635313;0.466111;0.462913;0.642916;0.459526;0.506221;0.441242;0.614757;0.562845;0.661983;0.0223508;0.373047;0.420206;0.540367;0.505932;0.490318;0.519565;0.594766;0.591456;0.430862;0.472453;0.0426522;0.464802;0.532146;0.681408;0.767484;0.710193;0.529617;0.462228;0.806426;0.440132;0.0409669;0.0404211;;
strain_9;0.0899834;0.0790751;0.0383747;0.0592866;0.384415;0.388004;0.119529;0.387673;0.456455;0.121242;0.646198;0.0991955;0.465731;0.601102;0.737484;0.556602;0.756176;0.549635;0.559487;0.33457;0.825271;0.584486;0.0901693;0.69716;0.434354;0.478604;0.615556;0.463697;0.567809;0.392199;0.609817;0.548459;0.685264;0.0984412;0.328069;0.376274;0.636177;0.505624;0.506601;0.51909;0.587338;0.49512;0.46387;0.41406;0.0638154;0.489364;0.594357;0.634712;0.748024;0.679452;0.619421;0.536186;0.780085;0.332073;0.0607797;0.0591169;0.0727415;
